Bees,Birds,Mammals,Fungi,Plants,Eudicots,Bacterial (core),Bacterial (non-ribosomal),Bacterial (WoL)
,0.9297337,,,,,,,11.01218886
,0.91270258,,,,,,,18.23525406
,0.53289689,,,,,,,4.096232298
,0.9481408,,,,,,,1.079994915
,0.61485184,,,,,,,1.186508395
,0.95458942,,,,,,,5.859871609
,0.74256293,,,,,,,5.023150119
,0.9409533,,,,,,,0.303618874
,0.83970438,,,,,,,2.731105292
,0.91883772,,,,,,,443.1137725
,0.89827531,,,,,,,16.49257298
,0.82738194,,,,,,,2.249357042
,0.94601384,,,,,,,0.231892569
,0.76094092,,,,,,,3.33150407
,0.8584537,,,,,,,1.214636006
,1.00147798,,,,,,,5.597888444
,0.83832312,,,,,,,13400.09229
,0.7779207,,,,,,,2.125610701
,0.82789526,,,,,,,1.523954752
,0.8770052,,,,,,,0.259428923
,0.86812972,,,,,,,0.462638868
,0.8773808,,,,,,,2.759314522
,0.9410247,,,,,,,0.25596785
,1.64862834,,,,,,,2.970682232
,0.72501499,,,,,,,0.519295757
,0.71066883,,,,,,,0.593526108
,0.93242727,,,,,,,0.533083171
,1.63507529,,,,,,,0.864442585
,0.9318255,,,,,,,16.41386592
,1.77021277,,,,,,,0.101161425
,0.69388158,,,,,,,3.857334315
,0.72455103,,,,,,,0.544846326
,0.90351163,,,,,,,4.706903358
,1.57180501,,,,,,,3384.168143
,0.38372093,,,,,,,1565.924979
,0.41749723,,,,,,,225622.0169
,0.21361276,,,,,,,19.81334747
,0.78937909,,,,,,,39644.07083
,0.82497762,,,,,,,24.6482578
,0.69126656,,,,,,,6717.963469
,0.86232371,,,,,,,5.321034268
,0.85253008,,,,,,,85.89336841
,0.8173479,,,,,,,143.2510833
,0.93364681,,,,,,,1227.746376
,0.80944167,,,,,,,0.486184622
,0.93157426,,,,,,,897.5471612
,0.93401015,,,,,,,131.3323265
,0.93247545,,,,,,,35950.37802
,1.55105973,,,,,,,4.912119604
,0.21578327,,,,,,,19652.89093
,0.20347273,,,,,,,6.298072747
,0.98468242,,,,,,,12885.65612
,0.88562472,,,,,,,3.854070614
,0.72244053,,,,,,,34.8738261
,0.91529104,,,,,,,4.260522229
,0.92967203,,,,,,,5.863568111
,1.54212454,,,,,,,142103.6137
,0.99112098,,,,,,,138940.2615
,1.3075751,,,,,,,210664.5831
,0.62145826,,,,,,,6.952718752
,0.62102785,,,,,,,82.30844779
,0.73206622,,,,,,,23920.03081
,0.78756357,,,,,,,4.02508996
,0.75394875,,,,,,,3.22547237
,0.86929772,,,,,,,0.882517753
,0.86996951,,,,,,,1.630975474
,0.98952096,,,,,,,2.379927509
,0.28865325,,,,,,,0.400225666
,0.88422126,,,,,,,13.53385661
,0.87378773,,,,,,,0.694316251
,0.80030337,,,,,,,4.04369447
,0.83420677,,,,,,,5.309718663
,0.90031803,,,,,,,3.978158422
,1.07125049,,,,,,,3.589541453
,0.91463675,,,,,,,17.81638167
,0.89207125,,,,,,,19.51593751
,0.93777153,,,,,,,2.478460747
,0.95584824,,,,,,,1.223336297
,0.68481848,,,,,,,2.984815279
,0.8917963,,,,,,,1.354243324
,0.92148916,,,,,,,2.723504949
,0.84340103,,,,,,,7.814005593
,0.87418815,,,,,,,17.58177806
,0.86636703,,,,,,,0.652439521
,0.70422535,,,,,,,5.641410522
,0.8501644,,,,,,,1.063056608
,0.8637789,,,,,,,1.238430237
,0.81231642,,,,,,,1.888202984
,1.32815534,,,,,,,18.23432353
,1.50620821,,,,,,,1.174767487
,0.93579075,,,,,,,1.843036545
,1.6829559,,,,,,,5.188852001
,0.91966505,,,,,,,10.71330589
,0.943173,,,,,,,136.8052751
,0.67855153,,,,,,,39031.98475
,0.82635951,,,,,,,3.163385958
,1.02713312,,,,,,,11260.80013
,0.9379479,,,,,,,22.14177572
,0.90203686,,,,,,,17.83705659
,0.83566413,,,,,,,4.707674741
,0.8540146,,,,,,,1.78028822
,0.56660938,,,,,,,0.339363302
,0.99706401,,,,,,,2.843034873
,0.9154773,,,,,,,5.938771546
,0.94688716,,,,,,,2.259953762
,0.80646695,,,,,,,20.02828274
